TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT2511;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;350;10;35 x 30;2;R$ 120,50
GIFT2512;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;875;25;35 x 30;2;R$ 287,99
GIFT2513;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1750;50;35 x 30;2;R$ 550,50
GIFT2514;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;3500;100;35 x 30;2;R$ 1.058,99
GIFT2523;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;280;10;47 x 12;2;R$ 114,50
GIFT2524;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;25;47 x 12;2;R$ 270,50
GIFT2525;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;50;47 x 12;2;R$ 520,50
GIFT2526;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;2800;100;47 x 12;2;R$ 999,50
GIFT2416;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;750;25;54 x 12;2;R$ 397,99
GIFT2589;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;600;10;50 x 10;2;R$ 122,50
GIFT2590;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1500;25;50 x 10;2;R$ 291,50
GIFT2591;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;3000;50;50 x 10;2;R$ 559,50
GIFT2592;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;6000;100;50 x 10;2;R$ 1.074,50
GIFT2463;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;230;10;60 x 12;2;R$ 170,50
GIFT2464;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;575;25;60 x 12;2;R$ 404,50
GIFT2465;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1150;50;60 x 12;2;R$ 775,99
GIFT2466;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;2300;100;60 x 12;2;R$ 1.491,99
GIFT2471;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;230;10;60 x 12;2;R$ 170,50
GIFT2472;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;575;25;60 x 12;2;R$ 404,50
GIFT2473;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1150;50;60 x 12;2;R$ 775,99
GIFT2474;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;2300;100;60 x 12;2;R$ 1.491,99
GIFT2467;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;230;10;60 x 12;2;R$ 170,50
GIFT2468;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;575;25;60 x 12;2;R$ 404,50
GIFT2469;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1150;50;60 x 12;2;R$ 775,99
GIFT2470;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;2300;100;60 x 12;2;R$ 1.491,99
GIFT2459;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;230;10;60 x 12;2;R$ 170,50
GIFT2460;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;575;25;60 x 12;2;R$ 404,50
